1746,50842,70164
5799,50542,95833
8959,53372,83193
5936,49282,106053
1599,45622,57914
1900,51002,83193
588,11332,17082
870,8743,26304
7773,2983,5762
1527,40203,52902
1141,17963,34833
1134,12453,34572
2054,12653,95294
8979,40383,87574
5360,21183,66604
2444,70913,122873
1894,79913,82603
766,5223,22632
1729,6183,69363
2612,23353,149754
1514,52033,52302
117,883,5174
6440,39963,156374
5344,65113,65123
7986,8300,12210
7913,7870,10430
3669,11580,13250
204,7660,7870
3389,6450,8870
3863,1690,16250
1587,9220,56463
8307,9220,24182
8211,12600,20391
8788,9440,56463
315,9440,10671
5031,1570,48392
4025,1570,20391
1605,3440,58593
4133,3440,22762
1417,14200,48392
4342,14200,27412
5672,14320,85493
3443,1580,9900
3751,1580,14320
5518,9430,75943
499,9430,14560
5718,9900,88963
8278,15160,23282
4026,15160,20401
4011,9910,20063
782,9910,23282
3912,15470,17571
3684,3650,13491
564,11910,16174
8135,11910,16842
8202,9920,20063
8799,14910,59093
3858,12350,16174
8044,12350,13730
7891,1670,9930
272,1670,9920
551,13730,15710
4291,16180,26302
3887,15710,16872
3444,9930,9940
419,9940,12900
5498,12900,74753
314,8870,10670
4287,14600,26231
8279,15580,23321
867,15580,26241
3256,3370,6460
7925,3370,10670
3269,6460,6630
4877,10390,42942
8088,10390,14861
3267,3360,6620
3268,3360,6630
5184,6620,53583
8577,13710,39462
501,3380,14590
7856,6480,8950
270,6480,9850
8783,10010,55654
277,6470,10010
7889,6470,9850
3566,8950,11490
8026,9190,13330
463,9190,13720
4885,13720,43222
8418,14560,29591
8203,14550,20072
3676,9200,13330
7973,3390,11990
251,3390,9200
3358,8430,8440
3565,8430,11490
3263,6420,6580
221,6420,8440
5512,14250,75653
491,14250,14330
4638,16680,33303
8223,16680,20971
7966,11710,11720
370,11710,11990
5734,13820,90013
298,9970,10320
3501,9410,10570
1910,6380,84243
3420,6380,9410
3360,6490,8450
7793,6490,6550
158,6550,6560
521,6500,15112
3359,6500,8450
4775,15450,38884
811,15450,23811
8137,15010,16892
4132,16070,22691
5035,11740,48572
438,11740,13232
3678,1590,13370
8118,1590,15890
8269,13360,22981
3803,13340,15090
444,13340,13370
606,13350,17541
607,1660,17561
8095,1660,15090
3866,11070,16312
364,11070,11791
4777,11030,38952
8207,11030,20201
8685,8190,47843
3737,8190,14080
1413,13570,48222
483,8280,14080
5022,13740,48222
5387,13580,68493
4316,8200,26881
7835,8200,8280
1032,12520,30772
4120,12520,22581
4121,12330,22581
3710,12330,13740
751,12510,22122
3736,12510,14070
904,13600,27342
3770,13600,14521
885,8270,26881
330,8210,11060
7834,8210,8270
741,13270,21732
421,6400,12930
8024,12930,13270
7788,6390,6400
8011,5740,12920
130,5740,5750
3223,5750,5760
3643,12500,12920
8247,14160,22061
400,12490,12500
3615,5730,12490
3841,5720,15830
7771,5720,5730
5417,13920,70064
7997,8240,12452
3354,8220,8250
215,8220,8240
8255,8260,22371
3724,8260,13920
5420,8360,70074
4110,8360,22371
5362,8350,66663
7987,8350,12240
4096,12240,22041
7999,5710,12480
554,5710,15830
3876,12480,16601
460,12040,13653
